alpha_h,omega_h,delta_h,average_velocity,average_energy,success
0.6027850101795231,1.6871516102611852,0.52,0.25062470539043874,45.0641,False
0.2828079806472293,1.6871516102611852,0.43,1.1991542786836167,85.8887,False
0.5494555052574742,3.005844822879123,0.43,0.0,0,False
1.0471975511965976,3.335518126033608,0.43,0.0,0,False
0.5316790036167912,2.676171519724639,0.52,0.0,0,False
0.656114515101572,1.0278050039522162,0.52,0.1897737086520449,30.6193,False
0.2294784757251804,2.676171519724639,0.43,1.0110325782753846,63.1245,False
0.37169048885064426,3.005844822879123,0.52,0.0,0,False
0.8872090364304509,2.0168249134156695,0.26,0.0,0,False
0.8872090364304509,3.335518126033608,0.43,0.0,0,False
0.8694325347897679,3.335518126033608,0.43,0.0,0,False
0.8694325347897679,2.676171519724639,0.26,0.0,0,False
0.8694325347897679,3.335518126033608,0.52,0.0,0,False
0.727220521664304,1.6871516102611852,0.43,0.0,0,False
0.4072434921320102,2.3464982165701542,0.43,0.0,0,False
0.2828079806472293,3.005844822879123,0.26,0.0,0,False
0.4961260003354252,3.335518126033608,0.52,0.0,0,False
0.5672320068981571,2.3464982165701542,0.52,0.7113479407660703,1296.44,False
0.9227620397118168,1.6871516102611852,0.43,0.0,0,False
0.2650314790065464,0.6981317007977318,0.52,0.10807998111304098,2.07425,False
0.2294784757251804,2.0168249134156695,0.52,0.6845789551155821,12.507,False
0.9760915446338659,1.0278050039522162,0.26,0.0,0,False
0.7627735249456701,2.0168249134156695,0.43,0.0,0,False
0.5850085085388401,1.3574783071067007,0.52,0.0,0,False
0.38946699049132727,1.3574783071067007,0.43,0.6103462237150148,92.3965,False
0.656114515101572,3.335518126033608,0.43,0.0,0,False
0.4250199937726933,2.3464982165701542,0.26,0.0,0,False
0.4783494986947422,1.0278050039522162,0.26,0.0,0,False
0.44279649541337623,0.6981317007977318,0.43,0.19152401578056596,9.79072,False
0.3005844822879123,1.3574783071067007,0.52,0.23566941750220055,5.92835,False
0.10504296424039947,1.3574783071067007,0.52,0.11282455330188638,1.68508,False
0.9405385413524998,2.676171519724639,0.43,0.0,0,False
0.6383380134608891,3.005844822879123,0.43,0.0,0,False
0.727220521664304,0.6981317007977318,0.43,0.21798700322112197,25.8498,False
